window_start_utc,requests,http_5xx,latency_p95_ms,cpu_avg_percent,memory_avg_percent,change_event
2026-08-05T09:00:00Z,120,0,118,18,42,
2026-08-05T09:05:00Z,128,1,132,21,43,
2026-08-05T09:10:00Z,135,0,125,24,44,
2026-08-05T09:15:00Z,142,1,148,29,46,deploy_sha_a13f9c2
2026-08-05T09:20:00Z,168,8,410,58,55,
2026-08-05T09:25:00Z,184,22,980,82,68,
2026-08-05T09:30:00Z,191,37,1640,94,79,
2026-08-05T09:35:00Z,176,31,1510,91,83,
2026-08-05T09:40:00Z,160,18,860,76,78,rollback_sha_7bc201e
2026-08-05T09:45:00Z,149,6,360,48,65,
2026-08-05T09:50:00Z,138,1,170,31,54,
2026-08-05T09:55:00Z,132,0,139,25,49,
